web-scraper-order,Product Name,ASIN-href,price,Product Description,Description,ASIN,Manufacturer
1692633351-396,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzUwNzE2OTcyOTkxNTkyOjE2OTI2MzMxNjE6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692633161%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,700",,Care Instructions: Wipe with Damp Cloth,B0B81YTTWS,AcefourAccessoriesPvt.Ltd
1692633375-397,"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjU4NzY5MDcxOTU2MDA3OjE2OTI2MzMzNTQ6c3BfYnRmOjIwMTQ1OTk1NzYyMTk4OjowOjo&url=%2FHalf-Moon-Curiosity-Backpack-Resistant%2Fdp%2FB09S3ZK3N1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692633354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,849,,Care Instructions: Hand Wash Only,B09S3ZK3N1,Half_Moon(AmazingBags)
1692633396-398,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjU4NzY5MDcxOTU2MDA3OjE2OTI2MzMzNTQ6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692633354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,800",,Care Instructions: Wipe with Damp Cloth,B0BWNBQXDZ,AcefourAccessoriesPvt.Ltd
1692633400-399,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-20,499,,Care Instructions: Wipe with Damp Cloth,B09TPX22NF,ADISA
1692633404-400,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-19,649,,Care Instructions: Hand Wash Only,B085MHDJ93,AmazingBags
1692633409-401,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-18,398,,Made of multi-coated 600D polyester Material ; Water Repellent,,
1692633413-402,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-17,"1,399","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Care Instructions: Hand Wash Only,B0BTD4FK9G,EXPERTS
1692633417-403,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-16,"2,099",,Care Instructions: Hand Wash Only,B07BZ5VC4H,SafariIndustries(India)Ltd
1692633421-404,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-15,979,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Care Instructions: Hand Wash Only,B07G4F6XFH,GearMerchandisePVTLTD
1692633426-405,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-14,387,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Premium Durable Material - Travel duffel bag is made of high quality,durable material.",B07XXFB9CZ,Sfane
1692633431-406,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-13,199,,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.",B019HA8AYG,GearMerchandisePVTLTD
1692633452-407,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjU4NzY5MDcxOTU2MDA3OjE2OTI2MzMzNTQ6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692633354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,400",,Care Instructions: Wipe with Damp Cloth,B0BXFDK5J2,AcefourAccessoriesPvt.Ltd
1692633473-408,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjU4NzY5MDcxOTU2MDA3OjE2OTI2MzMzNTQ6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692633354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,699",,Care Instructions: Hand Wash Only,B0C3J2RLHP,HOEXL
1692633477-409,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692633354&sprefix=ba%2Caps%2C283&sr=8-10,849,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.",B09VCLZ3K4,AmazingBags
